@relation room

@attribute 54:22:f8:17:9a:db NUMERIC
@attribute c0:3e:0f:85:ab:9d NUMERIC
@attribute 00:91:f9:4b:44:e0 NUMERIC
@attribute 5c:7d:5e:0e:4b:cf NUMERIC
@attribute 44:e9:dd:6d:36:7b NUMERIC
@attribute 44:e9:dd:6d:36:83 NUMERIC
@attribute 2c:39:96:b4:c3:a6 NUMERIC
@attribute 2c:39:96:b4:c3:9d NUMERIC
@attribute c2:91:f9:4b:44:e0 NUMERIC
@attribute 62:7d:5e:0e:4b:c8 NUMERIC
@attribute 2c:39:96:b4:c3:a3 NUMERIC
@attribute ec:8a:4c:af:00:9e NUMERIC
@attribute 44:e9:dd:6d:36:81 NUMERIC
@attribute 00:91:f9:4b:44:e1 NUMERIC
@attribute 22:91:f9:4b:44:e1 NUMERIC
@attribute 02:91:f9:4b:44:e1 NUMERIC
@attribute e2:91:f9:4b:44:e0 NUMERIC
@attribute 00:81:d8:7c:15:02 NUMERIC
@attribute 02:81:d8:7c:15:02 NUMERIC
@attribute 44:e9:dd:6d:36:7a NUMERIC
@attribute 44:e9:dd:6d:36:7d NUMERIC
@attribute 00:0b:6b:22:b3:03 NUMERIC
@attribute 2c:39:96:b4:c3:9f NUMERIC
@attribute 88:03:55:19:d7:dc NUMERIC
@attribute 00:19:4b:97:44:e1 NUMERIC
@attribute 00:0b:6b:22:b3:0a NUMERIC
@attribute 2c:95:7f:5e:bc:9f NUMERIC
@attribute c0:3e:0f:ab:c1:e1 NUMERIC
@attribute f0:7f:06:f5:e8:d0 NUMERIC
@attribute fa:8f:ca:5a:47:96 NUMERIC
@attribute 2c:39:96:b4:c3:a1 NUMERIC
@attribute 44:e9:dd:6d:36:7f NUMERIC
@attribute 1c:c6:3c:5b:c5:50 NUMERIC
@attribute 2c:39:96:b4:c3:9c NUMERIC
@attribute 2c:39:96:7b:a4:3e NUMERIC
@attribute 00:f2:01:2b:c6:ea NUMERIC
@attribute cc:33:bb:c9:10:b5 NUMERIC
@attribute 42:f2:01:2b:c6:ea NUMERIC
@attribute 00:07:26:ab:b0:33 NUMERIC
@attribute 4c:17:eb:5a:ec:48 NUMERIC
@attribute fa:8f:ca:5e:59:18 NUMERIC
@attribute fc:5b:39:a5:b1:b2 NUMERIC
@attribute fc:5b:39:a5:b1:b0 NUMERIC
@attribute fc:5b:39:ab:92:80 NUMERIC
@attribute f0:7f:06:f9:4e:80 NUMERIC
@attribute f0:7f:06:f5:e8:d2 NUMERIC
@attribute f0:7f:06:f4:b2:31 NUMERIC
@attribute fc:5b:39:a5:b1:b1 NUMERIC
@attribute ec:8a:4c:ae:e7:3e NUMERIC
@attribute 7c:4c:a5:5c:a4:4a NUMERIC
@attribute c0:3e:0f:36:67:6d NUMERIC
@attribute 00:91:f9:4b:67:72 NUMERIC
@attribute c2:91:f9:4b:67:72 NUMERIC
@attribute fc:5b:39:12:70:b0 NUMERIC
@attribute 00:23:51:98:1c:09 NUMERIC
@attribute 42:f2:01:22:59:5c NUMERIC
@attribute cc:33:bb:c9:10:b2 NUMERIC
@attribute f0:7f:06:bc:78:b0 NUMERIC
@attribute fc:5b:39:0d:2d:f2 NUMERIC
@attribute 6c:b0:ce:20:90:68 NUMERIC
@attribute fc:5b:39:12:70:b1 NUMERIC
@attribute 00:1b:29:76:c5:c8 NUMERIC
@attribute 00:21:04:af:a2:72 NUMERIC
@attribute c2:1b:29:76:c5:c8 NUMERIC
@attribute a2:1b:29:76:c5:c8 NUMERIC
@attribute fc:5b:39:a5:b3:62 NUMERIC
@attribute fc:5b:39:a5:b3:61 NUMERIC
@attribute 62:f2:01:22:59:5c NUMERIC
@attribute fa:8f:ca:8d:ea:2b NUMERIC
@attribute fc:5b:39:12:6d:00 NUMERIC
@attribute fa:8f:ca:53:5f:a3 NUMERIC
@attribute cc:33:bb:c9:10:b7 NUMERIC
@attribute fc:5b:39:09:82:f1 NUMERIC
@attribute fc:5b:39:03:e3:31 NUMERIC
@attribute 00:f2:01:22:59:5c NUMERIC
@attribute 00:8a:ae:98:ab:a2 NUMERIC
@attribute fc:5b:39:03:e4:c0 NUMERIC
@attribute fc:5b:39:0d:2d:f1 NUMERIC
@attribute 4c:17:eb:7d:63:66 NUMERIC
@attribute fc:5b:39:12:70:b2 NUMERIC
@attribute f0:7f:06:f5:e8:d1 NUMERIC
@attribute f0:7f:06:f9:4c:11 NUMERIC
@attribute fc:5b:39:03:e3:32 NUMERIC
@attribute fc:5b:39:a5:b2:72 NUMERIC
@attribute 06:21:04:af:a2:72 NUMERIC
@attribute ec:8a:4c:ae:fb:86 NUMERIC
@attribute 62:f2:01:2b:c6:ea NUMERIC
@attribute cc:33:bb:c9:10:b3 NUMERIC
@attribute 00:91:f9:45:2a:24 NUMERIC
@attribute fc:5b:39:12:6d:01 NUMERIC
@attribute cc:33:bb:c9:10:b9 NUMERIC
@attribute ec:8a:4c:ae:e8:9e NUMERIC
@attribute fc:5b:39:a2:61:a2 NUMERIC
@attribute 0a:21:04:af:a2:72 NUMERIC
@attribute ec:8a:4c:ae:fb:de NUMERIC
@attribute e2:91:f9:4b:67:72 NUMERIC
@attribute fc:5b:39:0d:2d:f0 NUMERIC
@attribute 70:62:b8:ff:4f:f7 NUMERIC
@attribute f0:7f:06:f9:4c:10 NUMERIC
@attribute 20:89:86:08:5e:5c NUMERIC
@attribute 58:1f:28:f1:a3:fc NUMERIC
@attribute f0:7f:06:f9:4c:12 NUMERIC
@attribute c4:34:6b:d1:3b:10 NUMERIC
@attribute 5c:dc:96:44:f7:59 NUMERIC
@attribute f0:7f:06:f9:4e:82 NUMERIC
@attribute 00:f2:01:22:59:5d NUMERIC
@attribute e0:19:1d:66:0b:d8 NUMERIC
@attribute f0:7f:06:c2:54:62 NUMERIC
@attribute fc:5b:39:09:82:f0 NUMERIC
@attribute fc:5b:39:03:f1:a2 NUMERIC
@attribute 00:0b:6b:2f:f4:39 NUMERIC
@attribute fc:5b:39:03:f1:a0 NUMERIC
@attribute 5c:dc:96:b0:7c:4b NUMERIC
@attribute fc:5b:39:a5:b3:60 NUMERIC
@attribute fc:5b:39:12:94:f1 NUMERIC
@attribute class {56f7cae138bcc7ae2a44c8f1,56f7caae38bcc7ae2a44c8f0,56f7caea38bcc7ae2a44c8f2,56f7caf238bcc7ae2a44c8f3}
@data
-45.0,-50.0,-81.0,-62.0,-74.0,-74.0,-88.0,-88.0,-74.0,-62.0,-88.0,-73.0,-74.0,-87.0,-88.0,-88.0,-77.0,-72.0,-70.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7cae138bcc7ae2a44c8f1
-49.0,-49.0,-72.0,-75.0,-77.0,-77.0,-88.0,-88.0,-75.0,-67.0,-88.0,-73.0,-77.0,-86.0,-87.0,-86.0,-74.0,-68.0,-73.0,-76.0,-76.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0,-88.0,-81.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-82.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7cae138bcc7ae2a44c8f1
-46.0,-54.0,-64.0,-65.0,-79.0,-78.0,-88.0,-88.0,-81.0,-64.0,-88.0,-74.0,-79.0,-87.0,-87.0,-87.0,-65.0,-71.0,-72.0,-76.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,-69.0,0.0,-81.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7cae138bcc7ae2a44c8f1
-48.0,-53.0,-66.0,-74.0,-78.0,-78.0,-85.0,-85.0,-77.0,-74.0,-85.0,-73.0,-78.0,-89.0,-89.0,-89.0,-73.0,-81.0,-71.0,-75.0,-75.0,-87.0,-78.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,-77.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7cae138bcc7ae2a44c8f1
-39.0,-57.0,-64.0,-60.0,-85.0,-85.0,-80.0,-80.0,-71.0,-60.0,-79.0,0.0,-85.0,-78.0,-78.0,-78.0,-71.0,0.0,-84.0,0.0,0.0,-88.0,-83.0,-83.0,0.0,0.0,0.0,-88.0,0.0,-62.0,-76.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-42.0,-87.0,-73.0,-66.0,-85.0,-84.0,-80.0,-80.0,-64.0,-66.0,-80.0,-70.0,-85.0,-78.0,-78.0,-78.0,-63.0,-84.0,-84.0,0.0,0.0,-88.0,-79.0,-83.0,0.0,0.0,0.0,-88.0,0.0,-63.0,-78.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-45.0,-60.0,-61.0,-86.0,-85.0,-85.0,-76.0,-76.0,-85.0,-69.0,-75.0,-71.0,-85.0,-76.0,-76.0,-76.0,-61.0,-71.0,-74.0,0.0,0.0,0.0,-80.0,-79.0,-85.0,0.0,0.0,0.0,0.0,-63.0,-75.0,-75.0,0.0,-79.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-45.0,-60.0,-64.0,-60.0,-85.0,-86.0,-83.0,-83.0,-60.0,-60.0,-83.0,-71.0,-86.0,-77.0,-77.0,-77.0,-60.0,-75.0,-77.0,-76.0,-76.0,0.0,-73.0,-72.0,-85.0,0.0,0.0,-85.0,0.0,0.0,-72.0,-76.0,0.0,-74.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-45.0,-59.0,-69.0,-60.0,-88.0,-88.0,-84.0,-84.0,-66.0,-59.0,-85.0,-74.0,-89.0,-68.0,-68.0,-68.0,-84.0,-78.0,-82.0,-84.0,-84.0,0.0,-80.0,-72.0,0.0,0.0,0.0,-85.0,0.0,-84.0,-72.0,-83.0,0.0,-74.0,-88.0,0.0,0.0,0.0,-85.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-49.0,-60.0,-55.0,-61.0,-85.0,-85.0,-84.0,-84.0,-64.0,-66.0,-90.0,-73.0,-86.0,-71.0,-71.0,-71.0,-56.0,-80.0,-81.0,-84.0,-84.0,-89.0,-80.0,-85.0,-83.0,0.0,0.0,0.0,0.0,-59.0,0.0,-83.0,0.0,0.0,-86.0,0.0,0.0,0.0,-85.0,0.0,0.0,-89.0,0.0,0.0,0.0,-90.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-83.0,-84.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-45.0,-67.0,-62.0,-63.0,-81.0,-81.0,-87.0,-88.0,-60.0,-61.0,-88.0,-73.0,-81.0,-73.0,-73.0,-73.0,-60.0,-84.0,-83.0,-77.0,-76.0,-90.0,-80.0,-78.0,-83.0,0.0,0.0,0.0,0.0,-59.0,0.0,0.0,0.0,-84.0,-86.0,0.0,0.0,0.0,-83.0,-88.0,-87.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,-84.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-53.0,-62.0,-58.0,-63.0,-85.0,-84.0,-92.0,-88.0,-58.0,-62.0,-88.0,-79.0,-84.0,-71.0,-71.0,-71.0,-57.0,-76.0,-81.0,-84.0,-83.0,-88.0,-82.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,-86.0,-88.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-46.0,-59.0,-66.0,-61.0,-76.0,-76.0,-87.0,-86.0,-58.0,-61.0,-87.0,-79.0,-77.0,-78.0,-77.0,-78.0,-57.0,-86.0,-76.0,-80.0,-80.0,-91.0,-82.0,-78.0,0.0,-87.0,0.0,-84.0,0.0,-54.0,-81.0,-80.0,-83.0,-72.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,-79.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-45.0,-53.0,-62.0,-67.0,-76.0,-77.0,-87.0,-88.0,-61.0,-67.0,-87.0,0.0,-76.0,-83.0,-82.0,-83.0,-61.0,-80.0,-80.0,-80.0,-80.0,-89.0,-81.0,-78.0,-85.0,-87.0,0.0,-84.0,0.0,-62.0,-84.0,-80.0,-83.0,-78.0,0.0,0.0,0.0,0.0,-87.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-80.0,-89.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-43.0,-60.0,-64.0,-65.0,-79.0,-79.0,-83.0,-82.0,-58.0,-62.0,-82.0,-72.0,-79.0,-78.0,-78.0,-79.0,-59.0,-70.0,-70.0,-80.0,-71.0,-88.0,-75.0,0.0,-85.0,0.0,0.0,0.0,0.0,-57.0,-75.0,-71.0,0.0,-78.0,0.0,0.0,0.0,0.0,-87.0,-81.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,-90.0,-81.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-52.0,-65.0,-61.0,-65.0,-76.0,-76.0,-86.0,-86.0,-62.0,-65.0,-87.0,-76.0,-76.0,-76.0,-76.0,-75.0,-62.0,-79.0,-76.0,-76.0,-85.0,-89.0,-80.0,-71.0,0.0,-90.0,0.0,0.0,0.0,-57.0,-81.0,-71.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,-81.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-89.0,-88.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-47.0,-61.0,-59.0,-66.0,-77.0,-77.0,-87.0,-86.0,-58.0,-66.0,-87.0,-76.0,-77.0,-79.0,-79.0,-79.0,-59.0,-79.0,-78.0,-76.0,-85.0,-87.0,-80.0,-81.0,-83.0,-91.0,0.0,0.0,0.0,-59.0,-81.0,-77.0,0.0,-81.0,-84.0,-87.0,-86.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-44.0,-64.0,-63.0,-62.0,-77.0,-77.0,-80.0,-80.0,-62.0,-63.0,-80.0,-72.0,-77.0,-75.0,-75.0,-75.0,-62.0,-81.0,0.0,-90.0,-82.0,-91.0,-75.0,-84.0,-78.0,0.0,0.0,0.0,0.0,-88.0,-76.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-40.0,-62.0,-63.0,-64.0,-81.0,-81.0,-87.0,-87.0,-63.0,-64.0,-87.0,-72.0,-81.0,-79.0,-79.0,-79.0,-70.0,-79.0,-77.0,-76.0,-79.0,0.0,0.0,-78.0,-86.0,0.0,0.0,0.0,0.0,-57.0,0.0,-78.0,0.0,-81.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,-84.0,-84.0,-85.0,-88.0,-89.0,-81.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-52.0,-60.0,-60.0,-67.0,-82.0,-82.0,-81.0,-81.0,-62.0,-65.0,-80.0,-69.0,-82.0,-79.0,-79.0,-79.0,-60.0,-77.0,-78.0,-76.0,-79.0,0.0,-79.0,-70.0,-86.0,0.0,0.0,-78.0,0.0,-60.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
-46.0,-56.0,-68.0,-60.0,-85.0,-84.0,-85.0,-85.0,-64.0,-60.0,-85.0,-82.0,-85.0,-81.0,-82.0,-81.0,-60.0,-88.0,-70.0,-76.0,0.0,-91.0,-75.0,-70.0,-86.0,0.0,0.0,-78.0,0.0,-60.0,-75.0,0.0,0.0,-76.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56f7caae38bcc7ae2a44c8f0
